"conflict_name","N","alpha","xmin","p","tail"
"Government of Yemen (North Yemen) - Civilians",30,1.99923810540005,1.185,0.579,28.324
"Governments of Australia, United Kingdom, United States - Government of Iraq",89,1.70420110468543,1.221,0.59,83.391
"GSPC - Civilians",113,2.06014391174089,1.072,0.488,109.089
"Guatemala:Government",251,2.7711456069371,1.017,0.053,247.948
"Gulf Cartel - Los Zetas",281,3.1622599812316,7.169,0.232,62.396
"Gulf Cartel - Sinaloa Cartel",212,2.32303161576267,2.078,0.005,105.112
"Hamas - Civilians",111,1.75942715420762,1.137,0.012,105.686
"Hells Angels - Rock Machine",32,2.82010328259691,1.02152852529602,0.778,31.5597416576964
"Hema - Lendu",41,1.90233237051687,27.958,0.078,27.134
"Hezbollah - SLA",165,3.27986861564954,2.085,0.581,63.944
"Hindus (India) - Muslims (India)",134,2.32334113628891,4.745,0.234,54.474
"Hutu rebels - Civilians",148,2.36597441584729,11.049,0.952,57.105
"IFP - Civilians",68,3.23814165113471,1.01232032854209,0.028,67.3501026694045
"India:Assam",497,3.79292261556797,3.882,0.42,89.266
"India:Bodoland",335,2.81844787396672,2.122,0.017,170.396
"India: Garoland",72,2.47488510635281,1.057,0.042,69.646
"India:Government",1621,3.43584740868014,10.116,0.886,153.338
"India:Islamic State",46,2.85151040196978,1.02553626149132,0.031,45.1961184882533
"India:Kashmir",5311,3.35011304779292,5.327,0.264,661.945
"India:Manipur",390,2.58198601073461,2.18,0.035,180.757
"India:Nagaland",95,3.31426059658863,6.432,0.407,31.756
"India:Punjab/Khalistan",174,3.22347747036358,5.372,0.301,47.902
"India:Tripura",187,2.99274620947508,4.642,0.523,56.541
"India:Western South East Asia",66,2.57753295992026,1.06,0.834,63.659
"Indonesia:Aceh",874,3.63456954775052,6.229,0.097,123.354
"Indonesia:East Timor",48,2.48021059185295,2.8,0.739,29.734
"Iran:Government",180,2.26849559067865,3.442,0.531,85.871
"Iraq:Government",4306,2.70422474283787,22.496,0,482.843
"IS - Civilians",1532,2.57093039460457,21.813,0.354,210.573
"Israel:Palestine",1989,2.63067331824259,4.149,0.902,440.329
"Israel:Southern Lebanon",435,2.56545105103512,3.528,0.375,144.543
"IS - Taleban",37,3.54956009388753,11.243,0.73,15.209
"Ivory Coast:Government",44,2.22646205839424,5.865,0.688,27.075
"Jalisco Cartel New Generation - Los Caballeros Templarios",36,2.89243262792108,3.394,0.524,20.769
"Jalisco Cartel New Generation - Los Zetas",46,2.75139994546974,4.611,0.453,23.259
"Jalisco Cartel New Generation - Sinaloa Cartel",47,3.04950747166344,1.86086086086086,0.281,27.1821821821822
"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",510,2.29992942057653,14.584,0.243,132.22
"Jam'iyyat-i Islami-yi Afghanistan - Junbish-i Milli-yi Islami",52,2.03166742095791,2.374,0.003,40.425
"Janjaweed  - Civilians",133,1.57627694695687,2.864,0,102.217
